Food,Calories,Fat,Sat.Fat,Trans_Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
Iced Caramel Mocha (Large),380,16,9,0.5,35,48,0,46,10
Iced Caramel Mocha (Medium),300,14,8,0,30,36,0,33,8
Iced Caramel Mocha (Small),240,12,7,0,25,29,0,26,6
Frappe Caramel (Small),450,20,13,1,55,61,0,57,6
Frappe Caramel (Medium),550,24,15,1,70,76,0,71,8
Frappe Caramel (Large),680,29,18,1.5,85,94,0,88,10
Frappe Mocha (Small),450,20,13,1,55,62,1,56,7
Frappe Mocha (Medium),560,24,15,1,65,78,1,70,8
Frappe Mocha (Large),680,28,18,1,80,96,1,87,10
Strawberry Banana Smoothie (Large),330,1,0.5,0,5,77,4,70,3
Strawberry Banana Smoothie (Medium),260,1,0,0,5,60,3,54,2
Strawberry Banana Smoothie (Small),210,0.5,0,0,5,49,2,44,2
Wild Berry Smoothie (Large),320,1,0.5,0,5,75,4,69,3
Wild Berry Smoothie (Medium),260,1,0,0,5,60,4,55,3
Wild Berry Smoothie (Small),210,0.5,0,0,5,48,3,44,2
Whopper Sandwich,660,40,12,1.5,90,49,2,11,28
Whopper Sandwich with Cheese,740,46,16,2,115,50,2,11,32
Bacon & Cheese Whopper Sandwich,790,51,17,2,125,50,2,11,35
Double Whopper Sandwich,900,58,20,3,175,49,2,11,48
Double Whopper Sandwich with Cheese,980,64,24,3,195,50,2,11,52
Triple Whopper Sandwich,1130,75,28,4,255,49,2,11,67
Triple Whopper Sandwich with Cheese,1220,82,32,4.5,280,50,2,11,71
Whopper JR. Sandwich,310,18,5,0.5,40,27,1,7,13
Bacon King Sandwich,1150,79,31,3.5,240,49,2,10,61
Cheddar Bacon King Sandwich,1190,84,33,3.5,235,50,2,11,64
Single Quarter Pound King Sandwich,580,29,13,1.5,105,49,2,10,32
Double Quarter Pound King Sandwich,900,54,25,3,210,50,2,11,56
Single Stacker King,700,42,16,2,125,48,1,10,35
Double Stacker King,1050,68,28,3.5,235,49,1,11,61
IMPOSSIBLE Whopper Sandwich,630,34,11,0,10,58,4,12,25
Hamburger,240,10,3.5,0.5,35,26,1,6,13
Cheeseburger,280,13,6,0.5,45,27,1,7,15
Double Hamburger,350,18,7,1,70,26,1,6,21
Double Cheeseburger,390,21,9,1.5,85,27,1,7,23
Extra Long Cheeseburger,630,37,14,1.5,100,45,2,9,29
Bacon Cheeseburger,320,16,7,0.5,55,27,1,7,17
Bacon Double Cheeseburger,420,24,10,1.5,90,27,1,7,25
Crispy Chicken Sandwich,670,41,7,0,60,54,2,8,23
Spicy Crispy Chicken Sandwich,700,42,7,0,65,57,3,8,25
Original Chicken Sandwich,660,40,7,0,75,48,2,5,28
Bacon & Cheese Crispy Chicken Sandwich,800,52,13,1,95,55,2,8,30
BBQ Bacon Crispy Chicken Sandwich,790,49,10,0.5,80,60,2,13,28
Crispy Chicken Jr.,450,30,5,0,30,34,2,5,12
Spicy Crispy Chicken Jr.,390,21,3.5,0,30,37,2,6,12
Chicken Nuggets- 4pc,170,11,1.5,0,25,11,1,0,8
Chicken Nuggets- 6pc,260,16,2.5,0,35,16,1,0,12
Chicken Nuggets- 10pc,430,27,4.5,0,55,27,2,0,20
Chicken Nuggets- 20pc,860,54,9,0,115,53,3,1,39
Spicy Chicken Nuggets- 4pc,210,15,3,0,20,11,2,0,8
Spicy Chicken Nuggets- 6pc,320,22,4.5,0,35,17,3,0,12
Spicy Chicken Nuggets- 10 pc,530,37,7,0,55,28,4,1,20
Spicy Chicken Nuggets- 20 pc,1050,74,15,0,110,56,9,1,40
Chicken Fries  9 pc.,280,17,2.5,0,35,20,1,1,13
Crispy Taco,170,9,3,0,10,19,2,1,5
BIG FISH Sandwich,510,28,4.5,0,30,51,2,7,16
Garden Chicken Salad with Crispy Chicken  no dressing,440,25,7,0,75,31,3,4,25
Club Salad with Crispy Chicken  no dressing,540,33,10,0,95,31,3,5,31
Garden Side Salad  w/o dressing,60,4,2.5,0,10,3,1,2,4
Kes Ranch Dressing,260,28,4,0,10,2,0,2,1
Kes Golden Italian Dressing,160,17,2.5,0,0,4,0,3,0
Kes Lite Honey Balsamic Vinaigrette,120,8,1,0,0,14,0,11,0
Buttery Garlic Croutons- Packet,60,2.5,0,0,10,9,0,1,1
Onion Rings  value,150,8,1.5,0,0,19,1,2,1
Onion Rings  small,320,16,3,0,0,41,3,4,3
Onion Rings  medium,410,21,3.5,0,0,53,4,5,4
Onion Rings  large,500,25,4.5,0,0,64,5,7,5
French Fries  value (unsalted),220,9,1.5,0,0,34,3,1,2
French Fries  small,320,13,2,0,0,49,5,1,4
French Fries  medium,380,16,2,0,0,58,6,1,4
French Fries  large,430,18,2.5,0,0,66,7,2,5
Kids Oatmeal,170,3,1.5,0,5,32,3,12,4
Chicken Nuggets- 4pc,170,11,1.5,0,25,11,1,0,8
Chicken Nuggets- 6pc,260,16,2.5,0,35,16,1,0,12
Hamburger,240,10,3.5,0.5,35,26,1,6,13
Cheeseburger,280,13,6,0.5,45,27,1,7,15
Motts Natural Applesauce,50,0,0,0,0,13,1,11,0
Fat FREE Milk (8 fl oz),90,0,0,0,5,13,0,12,9
1% Low Fat Chocolate Milk (8 fl oz),160,2.5,1.5,0,15,26,0,25,8
Capri Sun 100% Apple Juice (6 fl oz),80,0,0,0,0,20,0,20,0
PB&J Jamwich,300,16,3,0,0,33,4,11,11
Soft Serve Cone,190,4.5,3,0,20,32,0,24,5
Dutch Apple Pie,340,14,6,0,0,51,1,25,3
HERSHEYS Sundae Pie,310,19,12,0,10,32,1,22,3
Pie made with TWIX,370,20,13,0,10,45,1,30,4
OREO Cookie Cheesecake,350,18,8,0,35,41,1,25,6
